date,NIFTY50,SENSEX,BANKNIFTY,NIFTY500
2019-11-30,12056.0498,40793.8086,31945.7285,9813.6377
2019-12-31,12168.4502,41253.7383,32161.2773,9872.5371
2020-01-31,11962.0996,40723.4883,30833.2422,9861.4375
2020-02-29,11201.7500,38297.2891,29146.8125,9236.0381
2020-03-31,8597.7500,29468.4902,19143.7773,6996.7407
2020-04-30,9859.9004,33717.6211,21534.2500,8012.8892
2020-05-31,9580.2998,32424.0996,19297.0254,7822.3896
2020-06-30,10302.0996,34915.8008,21369.9023,8474.7891
2020-07-31,11073.4502,37606.8906,21639.7988,9035.7383
2020-08-31,11387.5000,38628.2891,23754.0742,9372.0371
2020-09-30,11247.5498,38067.9297,21451.5508,9341.7373
2020-10-31,11642.4004,39614.0703,23900.6230,9581.6377
2020-11-30,12968.9502,44149.7188,29608.7070,10719.0361
2020-12-31,13981.7500,47751.3281,31263.6875,11518.2852
2021-01-31,13634.5996,46285.7695,30565.1445,11302.3857
2021-02-28,14529.1504,49099.9883,34803.1953,12181.3848
2021-03-31,14690.7002,49509.1484,33303.5117,12313.6836
2021-04-30,14631.0996,48782.3594,32781.4180,12364.3330
2021-05-31,15582.7998,51937.4414,35526.2344,13226.3320
2021-06-30,15721.5000,52482.7109,34771.7969,13473.5322
2021-07-31,15763.0498,52586.8398,34583.9492,13664.2324
2021-08-31,17132.1992,57552.3906,36424.1797,14555.8809
2021-09-30,17618.1504,59126.3594,37424.6680,15052.6309
2021-10-31,17671.6504,59306.9297,39115.1484,15086.8809
2021-11-30,16983.1992,57064.8711,35694.8867,14648.3301
2021-12-31,17354.0508,58253.8203,35481.2852,14996.1807
2022-01-31,17339.8496,58014.1719,37974.9102,14921.4307
2022-02-28,16793.9004,56247.2812,36204.8789,14307.9316
2022-03-31,17464.7500,58568.5117,36373.1797,14894.4805
2022-04-30,17102.5508,57060.8711,36087.7305,14783.3301
2022-05-31,16584.5508,55566.4102,35486.9844,14119.5811
2022-06-30,15780.2500,53018.9414,33424.7148,13387.5322
2022-07-31,17158.2500,57570.2500,37490.9609,14665.6309
2022-08-31,17759.3008,59537.0703,39536.2891,15325.0293
2022-09-30,17094.3496,57426.9219,38631.5000,14829.3301
2022-10-31,18012.1992,60746.5898,41307.4180,15423.9795
2022-11-30,18758.3496,63099.6484,43230.4961,15946.1299
2022-12-31,18105.3008,60840.7383,42985.9492,15448.8291
2023-01-31,17662.1504,59549.8984,40654.5781,14935.4805
2023-02-28,17303.9492,58962.1211,40269.0508,14518.7500
2023-03-31,17359.7500,58991.5195,40608.6484,14557.8496
2023-04-30,18065.0000,61112.4414,43233.8984,15219.5498
2023-05-31,18534.4004,62622.2383,44128.1484,15766.4004
2023-06-30,19189.0508,64718.5586,44747.3516,16430.0000
2023-07-31,19753.8008,66527.6719,45651.1016,17059.0000
2023-08-31,19253.8008,64831.4102,43989.1484,16924.3008
2023-09-30,19638.3008,65828.4062,44584.5508,17292.5996
2023-10-31,19079.5996,63874.9297,42845.9492,16801.0996
2023-11-30,20133.1504,66988.4375,44481.7500,17987.9492
2023-12-31,21731.4004,72240.2578,48292.2500,19429.1504
2024-01-31,21725.6992,71752.1094,45996.8008,19802.0996
2024-02-29,21982.8008,72500.2969,46120.8984,20090.0508
2024-03-31,22326.9004,73651.3516,47124.6016,20255.1504
2024-04-30,22604.8496,74482.7812,49396.7500,20997.1992
2024-05-31,22530.6992,73961.3125,48983.9492,21103.3008
2024-06-30,24010.5996,79032.7266,52342.2500,22559.6992
2024-07-31,24951.1504,81741.3438,51553.3984,23530.8008
2024-08-31,25235.9004,82365.7734,51351.0000,23734.5508
2024-09-30,25810.8496,84299.7812,52978.1016,24245.1992
2024-10-31,24205.3496,79389.0625,51475.3516,22689.3496
2024-11-30,24131.0996,79802.7891,52055.6016,22687.0000
2024-12-31,23644.8008,78139.0078,50860.1992,22375.4004
2025-01-31,23508.4004,77500.5703,49587.1992,21580.9004
2025-02-28,22124.6992,73198.1016,48344.6992,19880.9004
2025-03-31,23519.3496,77414.9219,51564.8516,21339.5508
2025-04-30,24334.1992,80242.2422,55087.1484,22030.0508
2025-05-31,24750.6992,81451.0078,55749.6992,22801.9492
2025-06-30,25517.0508,83606.4609,57312.7500,23617.1992
2025-07-31,24768.3496,81185.5781,55961.9492,22914.9492
2025-08-31,24426.8496,79809.6484,53655.6484,22462.9492
2025-09-30,24611.0996,80267.6172,54635.8516,22734.0996
2025-10-31,25722.0996,83938.7109,57776.3516,23710.4004
2025-11-30,26202.9492,85706.6719,59752.6992,23933.1992
2025-12-31,26129.5996,85220.6016,59581.8516,23871.5508
2026-01-31,25320.6504,82269.7812,59610.4492,23079.5000
2026-02-28,25178.6504,81287.1875,60529.0000,23166.8496
2026-03-31,22331.4004,71947.5469,50275.3516,20528.0508
2026-04-30,23997.5508,76913.5000,54863.3516,22683.5508
2026-05-31,23719.3008,75415.3516,54055.3516,22651.3008
